name,time/s
53bd916199723025efd5ec37ae18aab1d1e519ea93e135b38e2b70cc4abf1bf6,0.8527885656134155
54b700b40965e1ca937bba16365fc3a52a6de8eff1bd8c11a65bd42aa3ace1cc,0.8187714004976171
54e26855769ea12c6fc9d4d3ea5c8e8a09cc4ea3a11865adba124f6d77d48de5,1.1339648758931535
54e561415b0867b7cce3df578d76b77a9267a8aa3ddb89862a3ad493fb13aac0,1.275741042125769
6e4849e0d92ae82380bf4bb6773a1ff27863038838a021ccade723e2adab5d73,1.3411443976157387
8b42292720589ce90e3d4b6d2eed1dab9f8f46827bf424975901902ccb6441ad,1.203061923403445
8baaee3f0699d15a860e283880baebca72912df873c5b00fdf4d55c84ad06de7,0.8722558023198281
8bc26373fc7a9bbdd4bcab1227d76970d25c070589dd24415c3c3a8fb02f6f8e,1.3556089949332986
8bc53c486cba7fca5ffe4dd43976cbaac6bfb24acc95d23da5ad5bc0e0689a3e,1.1885284857911558
8c3f76c2e9ee36bffbbdd67dfbb67c5823051f42f4cd3f2ce47771e28973790b,0.8008516165828617
8c953a78a471f5ed443a422f015d19ae58ad382a4383825b3c375e861cf25c33,1.1299942749640608
8ca3475c4ea7f68cf9404ae41b3bcff001cc48e0ef4b0cb73ca9e1b7972e5a83,1.0925365404357381
8cf5d337ce3239c379a6f64b6018fb5bf2d39ef7f48d813c1c882f5a239703ce,1.0257814520545439
8cfb55087fa8e4c1e7bcc580d767cf2c884c1b8c890ad240c1e7009810af6736,0.8580707773733536
8d042a417c37d48336b24ca108669734e259c3298072ee95032ca4ff94928b85,1.1549674327998594
8d2e797d19c2988c3a18a7d4fd765c03cf1634df5738be1260586195bf232046,0.6502279535813644
8d3e20eec3066ae31bfec63dfc5def83ec3fb788456c18fd6f7cbec9d7689cd3,1.3011316896033567
8d8491cb71fb375f6509a6521c09f685368530ba2eed68abc8cab2f45828a65e,1.3142126986063873
8df9747354421c6cabbfabe94bef66f7ce1c5d8b002b4eb749c8534bc544b22d,0.9711189009158485
8e104cc58e62de0eab837ac09b01d30e85f79045cc1803fa2ef4eafbdbd41e8d,1.3914464183142394
8e5c8ac9bacfbf9516847f8f6421f408c323065ff4c61d9c0afc22beb7b9833e,0.670639310038026
8e7eac5013699d34af9b001e61be38b410d98ef661ad11af37b356606eb63799,1.2589971020551074
8e9353fc3c070861eb933c7c33f2d08d7c015496e81b90d48d9ea6d6700ed1ed,1.27951686575851
8e9dd45d81352c2fe6f6b6ab124ae81d2b6485dba434bd59cfe8ce44f7628b24,1.269779656321812
8eff332ab33fde8c4e9145d620f7d9beabbd7075e46e45bc87167a2c66e604c7,1.3837206239662283
8f03c75dbf16f2b3c9ec82f979072ac746499c950c86e56d655ccc1a943282f3,1.084656763262608
8fe31269d1acd87ef39cde0b6f82a8a5088bb526eb3e43e1adfde86392901490,0.886784229844696
9a38991461288014473dd1d6de00238a69d14ff36bc5a555ac4d88479da1e0af,1.2570905765453702
9ba9a1a91f95af2c080fd2620128c13397218b88f16999d05b208f0b28b0a2a2,1.0598187367123946
9be9fc05b07871d06030a535b277e451345c1398e537fdad2a0c9cf6487795f2,0.6068106395305775
9c4078d401f7ebc70caa2050740e2562e1c7a2c98d3ff17e9fe590685ac647a6,1.0863253638693278
9c915242926dc9670f91177af0cd7ca492622a184de5af14a43d140800d775f0,0.6677912102320399
9c9ab16f3a94bde179d66cb45b1f50af58ec4b849ce103dafea33f5aef4d888c,1.2383984564142723
9d50a4f9ce524d40bbd02d6e5d8a24bca6b1005065add4bafc69ba198695506d,0.7756415860130965
9d535589dd8c68044fb45c10d2d1b63df28baad16d1d0ad4b187c91a23ee9c87,1.103078146154621
9d9742a07c77cdccd8c2b6ee17f2855a1479081e1f356073c6df9f749209b77f,1.0277298589992971
9dbe301e6b832184a624e97ee08735397aeb656e4fcb98c2388a57deb2f33e76,1.3907018490216536
9dd0b4db6deee989440abfeddb4280a0a55137479b15af616f506ebf3bd891fb,1.049770856329034
9e4570851f44cadcd300201d37c67c82bf8d62c435cfbfc073c01c8aa06f8b44,1.323229784419111
9e784ba34d9b50d98be783a255c397575f3f5a752174101af6e90e78d7758e71,0.7838911265105855
9e8cece950c181dd27eb143dc8d06361508b0087685108f4fb6f0959824c51df,1.1178072694644376
008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,0.930725490336057
05af0cf40590aef24b28fa04c6b4998b7ab3b7f26e60c507adb84f3d837778f2,0.9121938034228895
067f1b8f1e0b2bfe286f5169e17834e8cf7f4266b8d97f28ea78995dc81b0e7b,1.2077588837294944
06b323e0b626dc4f051596a39f52c46b35f88ea6f85a56de0fd76ec73c7f3851,1.3256992379224979
0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,0.702361561842857
0a937d4fe8aa6cb947b95841c490d73e452a3cafcd92645afc353006786aba76,1.3958991185634362
0cf5c4b3399d094fa0c58399fac521e4b2902db7ae1692aa502f5784ac755d49,0.7585708644579398
0e66029132a885143b87b1e49e32663a52737bbff4ab96186e9e5e829aa2915f,0.7528021043417793
0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,1.3424780823096139
12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,0.8158936779845819
1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,1.005832480162408
22d7d67c3af10b1a37f277ebabe2d1eb4fd25afbd6437d4377400e148bcc08d6,0.8299123556620751
26690dae115f47a1e0167750209a30cc68f51c5090e3b908105c93967e5156fa,1.302902812501071
2b9838da7edb0decd32b086e47a31e8f5733b5981ad8247a2f9508e232589bff,1.3581727600816191
2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21,0.6375281386927887
31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,1.1133261746525642
37f5b68321a9645814569cfdbfa08c363f0e19b077c3b0174e578eff40a69f3b,1.409478713246436
38e05d599877bf18855ad4d178bcd76718cfad1505328d0444363d1f592b0838,1.364103750888593
3ff1b90dbad5d78397fdc731c3a3c080d91fc488ac9152793b538b74a1e2d8f3,0.6178134862750346
4022483e73b04fad1ec569d7325f8cc8ed6a2a91e5b62f27319874aedcd675dc,1.4429584476704527
41302ba84885fcc5960d4e474d71f6af7c2a631c24d691179ff0a733eb1a4970,0.6868077280367036
41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c,0.6815055137519838
416235b085b6b86640cac3a78f0bd52583eed7154fc3666f5338bde96db10fab,0.7474718546408495
422e0e4e01c826c8a9f31cb3a3b37ba29fb4b4b8c4841e16194258435056d8a3,1.0227777389919097
435781ab608ff908123d9f4758132fa45d459956755d27027a52b8c9e61f9589,0.8440717054871026
43cfb0a439705ab2bd7c46b39a7265ff0a14f7bd710b3e1432a9bdc4c1736c49,1.4872050648375028
48693927ca69d34ee2127d8f22f85037cba703ac6bca49ba0704956f9dc8b57a,1.4561688705165627
4cae449450c07b7aa74314173c7b00d409eabfe22b86859f3b3acedd66010458,1.0553979765611718
4e6c191325b37da546e72f4a7334d820995d744bf7bb1a03605adb3ad30ce9ca,1.1068578970173046
501487b025f25ddf1ca32deb57a2b4db43ccf6635c1edc74b9cff54ce0e5bcfe,0.913671063507489
515bd71a8b3c2bce7b40b89ddfe2e94d332b0779d569c58117f8dcdcb8a91ed9,0.8643059208774638
52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,1.0281499246932095
53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80,0.8369306494529285
574b7439b7469ed10331f4f383da0631a78c71b388eab0db1399d8606108b0ea,0.9100012311169186
6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,0.685608839674166
69775389eb0207fec3a3f5649a0ad9315856c810f595c086ac49d68cdbc1d136,0.886214759204265
6c75998580fb05c01b10f4703299ffd782bec55c8765c030b8a4760fff6045fe,0.9280435567990717
704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2,0.7990700526722657
7e0ff0959bbc5565a8b83d46c9f4ac762007703cede8ee668b75af896754c569,0.8509484740332947
7f6dd0ca03f04b64024e86a72a6d7cfab6abccc2173b85896fc4b431990a5984,0.9882474816352229
8203c2f00ecd3ae960cb3247a7d7bfb35e55c38939607c85dbdb5c92f0495fa9,0.68216265081939
8c1a72991fb04dc3a8cf89605fb85150ef0e742472a0c58b8fa942a1f04877b0,0.9655633739455245
8d2b2a942c9e646a5f388837137a650716e11d95730db7dfeae26ab46778ba99,1.2952989836967386
8fb3250d69b1258fb68f0226170f67b94c79b7d89da0f84c4ade2cb434fa9bd9,1.2622251807263474
903c04976fa6e6721c596354f383a4d4272c6730b29eee00b0ec599265963e74,1.2671987424070161
9107be160f7b639d68fe3670de58ed254d81de6aec9a41ad58d91aa814a247ff,1.4692844899521487
92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,1.4000557826425333
9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1,1.3458965687065714
9bdd7f965d1c67396afb0a84c78b4d12118ff377db7efdca4a1340933120f376,0.6806001344779329
9cee5522a7ca2bfca7cd3d9daba23e9a30deb6205f56c12045839075f7627297,0.9532703103977667
9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021,0.9819754834925987
a9643eb83d509ad4eac20a2a89d8571f8d781979ad078e89f5b75b4bcb16f65e,1.2291679963471207
af55838bb4e636ec9c0f917a025db5e9e5c00f823f5dfadbd61c0198eb946b1a,1.26653018145438
af69df79d359c594030d8deab5e6aaeaf24a231b29e186d087e470056d5f99da,2.1370473770935807
af6b0540ee62ad8a38022308b28fe2125defe3cc74b2dd41249ede878fc3fa3c,1.1363109741291746
af76c4a4ea076f462b5441ac3ddda04f64236d46487b49bebb89da4b39c17324,0.7727269617934764
af7d13056153ac370daf02b407faf17fe043591f4cf4cf763fa8279ca7400f93,1.460956198811801
af8d42ba95bc866bb143e78e3ba053d9f4d85e7bc5e95b937fca39211924ad32,1.3080183485344175
afaee20e686bb2bcbabbac93fee97a3a263110e3759567bb02c6bf5bff328a8e,1.1633438258738522
afccd53a3767cad0641815321bb6bb16d0a939bce8e60e51693f90b07070b38b,1.3664428323566726
afe57b8d45ab07388514cddbfc06a2367f2bf3a8698f4bb7962ee5f6b4713a24,1.3202920521982309
afffa6db4c87a2c5507350987f736c8aec9c63ed1745d97f9797d4a26f7fe9ca,0.953172145081348
b04c8ad545f97978956d14f01de3708f3513d078a66b72e92696a54b7532a3df,1.2877087242262129
b06c7b9d15db80fbf45599aad1710a58429d74c91de789669956b823f83af50b,1.0678437821258175
b08c0ee892ea191cb035a6ea195fd5c8829cfb93f3cc35422d4eb350f5701700,3.673460572229444
b09b26424ff58101eb10ada6d8465d10c20b2e4c750b3aadaa9668a47377edfc,0.6512124089700523
b09cef7d990ff9f40c319d1eea7f1634d5471198158e75f5b45340a05cdda9c1,0.6725165876160748
b0acef906dddfb28a38dd5fb8d0bef9278cfd7c7ce541e596a2d42c9981fdd5d,0.7558723108427063
b0b56543384940405e67336dfbf93c789864b1d4d0053692b0b634991efe9ace,3.2259895820030637
b120edc53a33448344749ae1e2abd9cab75fdad334ce6b3ecab77a8e675ed400,1.1002366989657748
b125c744ff917a71e8ff136e016c11ec282e8550208bd0f7edc4b8a2838e70d7,0.9912793906899507
b12da45793c46c024d7e3ac0623b3632249eeeaab8ef1d161000a68bc93224cc,0.7323861819920497
b13a77517fbf3a9bca47c47373a61fc0259d25e92d3bb512220d1d0735f3a221,0.9328130017970891
b13fbceee477d5a093cfd3e3d230f3fdd69feead99c0eae91fcbe40e0a5b8881,1.2939456764004367
b1b239612f027cf2d7a98fa45491422a3829f5684de4fb9e8abed9efb2159e4e,1.0517507823760877
b1b6180bc13289f536520cb70391fc7c50fe1797f02efc0bb5692b621bbf6cf4,1.0225147155616265
b1d2833cb1560257245f0ce905c0bdb147b0662b998aaa00562cc4b1fcc89ae8,2.7516098663893493
b1e4e0d9e33b9936c1992877858793e841c6dfc7e9d36d3e484e3b5069ffd611,1.3297017481251225
b1e61a0829bcc94eafc1523c928909eac72327d57a7097e30aeacb5c1332fc32,3.714310643049109
b1ee7ee6cd343e219f22f4541aa19ab745571a1802252ff871d20f22c1a1e702,1.3496845608631303
b23bbad276d48f77efd968537d68dd6a228fc4d7c48ddea21a751c0358c1ef71,1.3037084417944436
b24f05a576b4a18d1ca0d5ddf846af0fb00e448acc9b45adf28d9cbfabc1d12e,0.8435648043499367
b25cd27a30729d8373a9d359b3a059e7a670428b7c4f37a1421fa8fef0ae48e9,1.078439088883428
b2c2a04fd633d72561b65f127e0e4738a8ce3569c23b57a8e73a58103b52b124,1.1819034064573641
b2c86acc7fcd61d67d231ade3d13426bfd3b5dce13e642a046f7df730b14cd58,1.3571706573856406
b2db162c51aa7bf578524a22517dc29e3efeff86a44b1c609f679f4a4134519d,1.763237621437807
b2e3ce1ceb4615684bded72d02fce64ffced2dd5e3fb70faefa3467f80f25669,0.6345920090508945
b2e7a263f03af3e7db862f349383b249570ccb85f344bea02f9ee9a4932daf6d,0.7818002619023179
b301c06c751bffd3150c1c1ce6173d2dc33ee8337502354362091dd5663b5882,1.3979615781816566
b324f70666dcb49b6767ddd79e3e6045506ab95afa52fcb09052088830988fb1,0.7888308442950739
b32d332eeb86a8cc966f64f967982244240732589af4abd7c2505b6cfddf71da,1.1002555772200542
b34e3ba77a1c8829537050105f095b4a5d9b57eec4ce7af1f42842296034029d,0.6859433343434148
b35d2e7415703ee088a3e47f623eebd56d591261f05363d31d1d9dbd4771473f,2.311304335261091
b3a7c0150c39dc1962c5f5a39e664da97d980c353a71f12a7c069c6a6a50dc0e,1.4073196109971604
b3d25ce19f5feb4b8c56c7adb5a6bf11a9dd94c82ab7b45567b41cb29bd2221b,2.22899434392788
b3d71d5178696d4a14bbeabf5b72b8b9af7c7e3bbd62a3abcf6dc276451d76ef,0.7038104499254927
b3ebc327773f5f846deeb1255475644a630c4d0d3b4eda3bbf995a36599c07cf,1.2868788749913662
b420e522ec1ee85b677b5ca069ff402712be10c565f7e88a6b6a514d82f58b8b,0.9925914125346834
b46db5d12c273bdd09a1532494b35ccc84e9e5a14dd7f95cce2442c34cd26265,0.7546306105487699
b4c9cffe8c020c62d1281b2200edc743debb1b61257b64ee4f9bff631d7a5140,1.002858796791414
b4d07bb3cf31f4af74721ede31e67462a628d534d3e36fdcc0a4dbc4d83d7da3,1.1216151152985372
b4e2e50f109972ff27f4c137575ebb5ebbd2eca24c2925da5a8b02e8e67d12be,0.9797500492361073
b4f11182ebd9524c0b659a012608d460128542e772cc757b040d24333aaf300b,1.1799972228421267
b51a67b54f7a67e2bcf1420bd4a6006ecb32103af9654954d5f6b0ddd45108dd,1.6244336332010287
b58fa8af29dcaa43fe6c6ee73106e111bcce2f72293ee1193b4fd2f326b91350,0.89158155607958
b5a56f5b98a9a6c73050f3c6340892fa6b4894ac81eb152f18f364ee43ef0e08,1.2933393868117729
b60e913a4c3427788edd9985bcf31b7f87e581428cdbdc9eedba9f86637ea48a,1.3076927639143745
b64b5dffc4bc5bcc452db27de8fdf50d14fee07dd8d6d68a859f6e4ac9355c80,1.3472419745776996
b68cb414065fc36c45cbf2c653c49ac4f991992d54a8d0f203f3bd3a1dea486e,1.1638312951931686
b68e7ffc925e9f67117f65d97e417745cc0acc7bfe9034a1ef7a181c69292c18,1.1125929681194087
b6a6aaf809e0c9aa1a5cf1526091cadeb542c12af550f5775e9e62357911e11a,1.4843774272555823
b6bc700276bcbf659fc3dc22fb489f1a652f99909ed222358afc4b94a81e3bb4,0.804847211122524
b6da369c254a99cfd4b5630428ece6d385128f020439d9567e4fdaaddc9c2fe6,1.0831700716404526
b6f5525585f77e3beedf825eac51bd14c4683b91bf4fa5c7f75dd53d214ff369,1.1109415635770594
b72c7c7856093f54e9e444f383b47c57ca9c41c1e3044c03b0d1d314ac22f715,1.1505768372242189
b7aa72bcbb2fef225af83222482c37ab9fd16fbbfdc1087184991017e4bca9e6,1.1427044662212742
b7b598066829001247224efcf7e4056d07001cbfa3d95cde8c441694e1a670cb,1.07280605040742
b7ba2c72a41e4ba3db0b4dbf785cc5a2d57cf2cc8dc5d5006b0bdc300b7c60e3,1.6870143972160492
b7f7bedd8fc6cb545c893f897cc0841f7758ce4661c20b63b2990c9c899ea0bd,0.8706758347267841
b7fbc99a12153ffd2a3636716191828c2f6ad0b75042d447860ac42c00c09155,1.2429004495608365
b83fd67af67fdc528cce090cdbdb2d867763391d3243e5acde6bad66a1dfa539,1.205584145617928
b84be09db2802db69f9805fa4f111b66ca7acc6b400392e6cc34148f297737bb,1.6954490979182002
b85d898ee9e09710c36b51859b89d747a5ca8d99b39c2ba6f3edc68e6078528e,1.1087692299050091
b8ca1c729013186dfd6a07afcc82afd96bb27dd2e181f49d6e6554e5c61f1b74,0.7071802290010433
b8ce2ce452a144fd8a8508461abfd20b7ccfab69389398b30f31163bfc831752,1.180935832233559
b8d276777071c9e1b8fc37d9be2b12feea78383a52975e162d36417924e9ce49,1.1730422287038973
b8dbd5034d2d2c5b7504822dc24607c66f5b1e925e3599b584ebf86f2d4e4703,0.7192937672122731
b8e50cef52e1554df2da17e46d7996455ebe6e0bdcc9c623fe17fa21a86225cd,0.6803797655844248
b8fa56efe3ed38b06258f2b2d032565575fc91079df2141ed4d800ba988b4504,0.7590699205886985
b91ade1ab758da0e34bf5990ca27cc2516a6c979f0217be95d34f279023e4768,1.4734569449929258
b97a38b62274c928aad0d2add69aad9b91ecbb685a1dff298eee906871da226d,0.7662036635874336
b9b224b57eb8f95b2389085292ccb02887bee43a5d4e4501332f30cee58718fe,1.1925975308913659
b9f4f6c5da28708ab74b4e0623fcb1bc0c707547360a2bb19d72b2dfcf274096,0.6799947239588761
c0eae7e6c385001415c0f3438fef869d708f1163ba58c7f162990bb0ba5df86c,0.7777363715613983
d3e4e4e5123c9c8fbc81596aa469cf241bf2e7d16393d6094643b67c492b68cf,0.8791583026757864
d3f8de3bcecb36f13f6147c01e31ad0584af7b466bae30ddc91e018800f2e4ce,1.262336666187633
d4a2e1ec653e219e2392d1a70cc6f87e03aa530d8469b823d5360044e95e9d7e,0.9156334930985545
d4dc45bd8f30ba4f603a4588592c044fb4e2cf1fe52b31c164859012dfbdf847,0.6029300707681188
d4defdb9403142c1d4c14b9d0e393d6ca8b342047dbf5654c2711b4bd61e5674,1.0336367939146274
d5a2b5f12e31f7f3fa5add5169024dc390c62033aaf858a59a9af22ff99b327b,2.445849963470794
d5c10abce3b7ff3f626ca6c8caa2080461d254351c65d67ef00aa045eec30fc4,0.9859883365408635
d5c83f140c550810c82bb45e05674a8db31c78bf4ca768c299f5c2f8a3163e7a,1.1485550431497196
d5d5696745f33be7bb9b4a344a81c9635753b259aa86f8dd9e7c2dafc9e6b5b6,1.0264516357798468
d5d58d6b166d602aae64123743f72c7c797f6190ab95093223c2ae33d0381291,0.7381381228057556
d5e88fa4a0a896c8704cdcb3fca225028200a7ba46545c862d762b8609bab036,1.1107850670336
d5fea23badc75de93f78bbb0c9f376d6ed997b474b7c36d062838eaa1a055e0f,1.1579344362835993
